,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
3,Aaron Gordon,30,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,9.0,5.0,False,False,15.75
1,Aaron Gordon,35,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,8.0,4.0,0.0,1.0,2.0,3.0,10.0,11.0,False,False,28.0
3,Aaron Gordon,29,5.0,6.0,0.833,1.0,1.0,1.0,1.0,2.0,0.5,8.0,4.0,0.0,1.0,3.0,2.0,12.0,22.0,False,False,29.0
4,Aaron Gordon,23,6.0,9.0,0.667,1.0,2.0,0.5,0.0,1.0,0.0,5.0,2.0,1.0,1.0,2.0,1.0,13.0,24.0,False,False,25.75
1,Aaron Gordon,32,8.0,12.0,0.667,3.0,5.0,0.6,4.0,4.0,1.0,9.0,0.0,0.0,0.0,1.0,5.0,23.0,-5.0,False,False,35.25
0,Aaron Gordon,39,6.0,14.0,0.429,1.0,4.0,0.25,3.0,4.0,0.75,5.0,3.0,0.0,0.0,2.0,2.0,16.0,7.0,False,False,26.25
3,Aaron Gordon,28,6.0,12.0,0.5,2.0,5.0,0.4,1.0,3.0,0.333,10.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,False,True,31.0
1,Aaron Gordon,32,7.0,13.0,0.538,1.0,3.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,16.0,28.0,False,False,31.0
1,Aaron Gordon,34,11.0,16.0,0.688,1.0,4.0,0.25,7.0,7.0,1.0,12.0,1.0,0.0,0.0,4.0,4.0,30.0,6.0,False,True,46.5
0,Aaron Gordon,34,6.0,11.0,0.545,1.0,3.0,0.333,3.0,4.0,0.75,5.0,5.0,1.0,1.0,3.0,2.0,16.0,13.0,False,False,32.75
2,Aaron Gordon,23,4.0,9.0,0.444,3.0,5.0,0.6,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,11.0,9.0,False,False,22.25
2,Aaron Gordon,31,5.0,8.0,0.625,1.0,3.0,0.333,2.0,4.0,0.5,4.0,3.0,1.0,0.0,4.0,2.0,13.0,3.0,False,False,23.0
3,Aaron Gordon,34,9.0,13.0,0.692,0.0,3.0,0.0,2.0,4.0,0.5,7.0,1.0,1.0,1.0,4.0,5.0,20.0,-1.0,False,False,32.25
2,Aaron Gordon,32,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.0,3.0,1.0,0.0,5.0,2.0,10.0,10.0,False,False,22.5
0,Aaron Gordon,42,9.0,17.0,0.529,0.0,5.0,0.0,10.0,15.0,0.667,8.0,2.0,1.0,2.0,3.0,5.0,28.0,10.0,False,False,45.5
2,Aaron Gordon,25,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,2.0,7.0,-12.0,False,False,19.75
3,Aaron Gordon,24,3.0,9.0,0.333,0.0,4.0,0.0,1.0,3.0,0.333,6.0,2.0,0.0,0.0,1.0,1.0,7.0,-5.0,False,False,17.0
4,Aaron Gordon,21,3.0,5.0,0.6,1.0,1.0,1.0,6.0,7.0,0.857,4.0,0.0,0.0,0.0,2.0,4.0,13.0,-18.0,False,False,17.5
1,Aaron Gordon,30,5.0,8.0,0.625,2.0,4.0,0.5,4.0,4.0,1.0,3.0,3.0,0.0,1.0,4.0,1.0,16.0,6.0,False,False,25.25
1,Aaron Gordon,43,10.0,16.0,0.625,4.0,7.0,0.571,4.0,6.0,0.667,4.0,3.0,2.0,0.0,2.0,1.0,28.0,21.0,False,False,42.5
