,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
2,Aaron Gordon,35,8.0,16.0,0.5,0.0,3.0,0.0,2.0,4.0,0.5,13.0,2.0,1.0,2.0,2.0,1.0,18.0,-14.0,False,True,43.75
1,Aaron Gordon,34,7.0,11.0,0.636,3.0,5.0,0.6,5.0,5.0,1.0,5.0,2.0,0.0,0.0,5.0,3.0,22.0,17.0,False,False,30.25
4,Aaron Gordon,20,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,7.0,-13.0,False,False,15.75
1,Aaron Gordon,37,9.0,11.0,0.818,4.0,6.0,0.667,2.0,2.0,1.0,5.0,3.0,0.0,0.0,2.0,1.0,24.0,9.0,False,False,35.75
1,Aaron Gordon,31,2.0,11.0,0.182,1.0,3.0,0.333,5.0,6.0,0.833,11.0,1.0,0.0,1.0,1.0,2.0,10.0,-12.0,False,True,28.75
0,Aaron Gordon,37,6.0,11.0,0.545,2.0,4.0,0.5,6.0,8.0,0.75,4.0,5.0,0.0,0.0,2.0,1.0,20.0,18.0,False,False,32.5
0,Aaron Gordon,36,10.0,12.0,0.833,1.0,2.0,0.5,7.0,9.0,0.778,9.0,4.0,0.0,2.0,0.0,0.0,28.0,-7.0,False,False,49.75
1,Aaron Gordon,22,6.0,12.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,2.0,1.0,0.0,0.0,1.0,0.0,14.0,7.0,False,False,18.0
2,Aaron Gordon,28,5.0,14.0,0.357,1.0,5.0,0.2,1.0,2.0,0.5,9.0,1.0,0.0,0.0,3.0,2.0,12.0,-7.0,False,False,23.75
1,Aaron Gordon,31,8.0,12.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,8.0,4.0,0.0,1.0,1.0,0.0,19.0,1.0,False,False,38.0
2,Aaron Gordon,29,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,3.0,5.0,8.0,5.0,False,False,14.25
0,Aaron Gordon,29,5.0,12.0,0.417,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,13.0,False,False,16.25
2,Aaron Gordon,35,6.0,12.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,3.0,14.0,3.0,False,False,24.75
1,Aaron Gordon,33,4.0,10.0,0.4,0.0,5.0,0.0,3.0,3.0,1.0,5.0,3.0,0.0,1.0,3.0,0.0,11.0,3.0,False,False,22.25
3,Aaron Gordon,27,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,9.0,6.0,False,False,20.75
2,Aaron Gordon,27,2.0,5.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,8.0,4.0,0.0,1.0,3.0,1.0,5.0,12.0,False,False,21.5
1,Aaron Gordon,32,6.0,10.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,3.0,3.0,12.0,18.0,False,False,28.5
2,Aaron Gordon,29,4.0,11.0,0.364,0.0,5.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,1.0,10.0,-2.0,False,False,18.75
1,Aaron Gordon,34,8.0,17.0,0.471,2.0,3.0,0.667,2.0,2.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,20.0,24.0,False,False,35.25
2,Aaron Gordon,34,7.0,11.0,0.636,3.0,5.0,0.6,6.0,6.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,23.0,18.0,False,False,45.0
0,Aaron Gordon,33,10.0,16.0,0.625,0.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,2.0,21.0,-11.0,False,False,27.5
1,Aaron Gordon,29,5.0,9.0,0.556,0.0,1.0,0.0,2.0,4.0,0.5,3.0,3.0,0.0,0.0,0.0,1.0,12.0,8.0,False,False,20.25
1,Aaron Gordon,30,7.0,14.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,10.0,4.0,2.0,0.0,4.0,3.0,16.0,-15.0,False,True,38.5
2,Aaron Gordon,32,5.0,9.0,0.556,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,11.0,-12.0,False,False,18.75
4,Aaron Gordon,20,7.0,15.0,0.467,0.0,3.0,0.0,2.0,4.0,0.5,7.0,1.0,1.0,1.0,1.0,2.0,16.0,2.0,False,False,29.75
4,Aaron Gordon,24,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,-1.0,False,False,16.5
2,Aaron Gordon,31,8.0,18.0,0.444,2.0,8.0,0.25,2.0,2.0,1.0,4.0,2.0,1.0,0.0,4.0,0.0,20.0,10.0,False,False,29.0
3,Aaron Gordon,33,9.0,16.0,0.563,1.0,3.0,0.333,2.0,4.0,0.5,7.0,3.0,2.0,1.0,0.0,0.0,21.0,20.0,False,False,40.75
3,Aaron Gordon,31,4.0,13.0,0.308,1.0,4.0,0.25,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,9.0,-2.0,False,False,17.5
2,Aaron Gordon,31,4.0,10.0,0.4,0.0,2.0,0.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,12.0,26.0,False,False,28.0
1,Aaron Gordon,32,2.0,10.0,0.2,0.0,0.0,0.0,4.0,5.0,0.8,9.0,2.0,1.0,0.0,0.0,2.0,8.0,2.0,False,False,24.25
1,Aaron Gordon,33,7.0,9.0,0.778,1.0,3.0,0.333,0.0,4.0,0.0,7.0,2.0,2.0,0.0,3.0,1.0,15.0,-14.0,False,False,29.75
1,Aaron Gordon,39,5.0,11.0,0.455,0.0,4.0,0.0,5.0,8.0,0.625,8.0,2.0,1.0,2.0,3.0,1.0,15.0,2.0,False,False,32.5
0,Aaron Gordon,35,9.0,12.0,0.75,0.0,0.0,0.0,7.0,8.0,0.875,6.0,3.0,0.0,1.0,1.0,2.0,25.0,-4.0,False,False,38.5
1,Aaron Gordon,37,6.0,10.0,0.6,1.0,2.0,0.5,5.0,5.0,1.0,9.0,3.0,2.0,0.0,0.0,3.0,18.0,-15.0,False,False,38.25
1,Aaron Gordon,32,4.0,9.0,0.444,2.0,3.0,0.667,3.0,3.0,1.0,6.0,2.0,0.0,0.0,1.0,2.0,13.0,3.0,False,False,24.0
4,Aaron Gordon,27,2.0,4.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,0.0,5.0,0.0,1.0,1.0,4.0,8.0,12.0,False,False,17.0
1,Aaron Gordon,34,5.0,11.0,0.455,1.0,3.0,0.333,10.0,13.0,0.769,6.0,4.0,1.0,2.0,2.0,4.0,21.0,-7.0,False,False,40.0
0,Aaron Gordon,43,3.0,7.0,0.429,1.0,4.0,0.25,3.0,4.0,0.75,2.0,1.0,2.0,1.0,0.0,3.0,10.0,6.0,False,False,20.5
1,Aaron Gordon,34,7.0,13.0,0.538,1.0,1.0,1.0,3.0,4.0,0.75,12.0,4.0,0.0,1.0,2.0,5.0,18.0,5.0,False,True,42.0
0,Aaron Gordon,24,5.0,11.0,0.455,1.0,4.0,0.25,1.0,3.0,0.333,4.0,2.0,1.0,0.0,1.0,0.0,12.0,-16.0,False,False,22.0
3,Aaron Gordon,22,6.0,13.0,0.462,1.0,2.0,0.5,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,14.0,13.0,False,False,19.0
2,Aaron Gordon,35,4.0,11.0,0.364,2.0,4.0,0.5,6.0,6.0,1.0,6.0,9.0,2.0,1.0,3.0,2.0,16.0,10.0,False,False,42.5
1,Aaron Gordon,28,10.0,17.0,0.588,4.0,8.0,0.5,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,2.0,24.0,24.0,False,False,38.75
0,Aaron Gordon,37,7.0,12.0,0.583,1.0,5.0,0.2,2.0,4.0,0.5,8.0,3.0,0.0,0.0,1.0,2.0,17.0,0.0,False,False,31.5
3,Aaron Gordon,24,2.0,9.0,0.222,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,4.0,11.0,False,False,13.5
1,Aaron Gordon,32,6.0,14.0,0.429,2.0,4.0,0.5,3.0,4.0,0.75,9.0,7.0,1.0,0.0,1.0,3.0,17.0,29.0,False,False,41.25
3,Aaron Gordon,26,3.0,10.0,0.3,0.0,3.0,0.0,2.0,3.0,0.667,5.0,0.0,0.0,0.0,0.0,2.0,8.0,-11.0,False,False,14.25
2,Aaron Gordon,33,4.0,7.0,0.571,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,10.0,1.0,False,False,19.75
2,Aaron Gordon,30,8.0,11.0,0.727,1.0,4.0,0.25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,17.0,1.0,False,False,20.75
1,Aaron Gordon,27,4.0,12.0,0.333,1.0,7.0,0.143,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,9.0,-27.0,False,False,14.25
2,Aaron Gordon,34,8.0,15.0,0.533,2.0,5.0,0.4,2.0,2.0,1.0,7.0,6.0,1.0,0.0,1.0,1.0,20.0,8.0,False,False,40.25
0,Aaron Gordon,36,9.0,14.0,0.643,3.0,5.0,0.6,3.0,4.0,0.75,8.0,3.0,0.0,1.0,0.0,0.0,24.0,14.0,False,False,42.0
2,Aaron Gordon,35,9.0,15.0,0.6,0.0,4.0,0.0,2.0,5.0,0.4,8.0,5.0,0.0,1.0,7.0,6.0,20.0,-16.0,False,False,36.0
1,Aaron Gordon,33,8.0,15.0,0.533,0.0,5.0,0.0,1.0,2.0,0.5,6.0,2.0,3.0,0.0,2.0,3.0,17.0,-6.0,False,False,32.5
3,Aaron Gordon,30,5.0,13.0,0.385,1.0,3.0,0.333,5.0,5.0,1.0,7.0,6.0,0.0,1.0,0.0,2.0,16.0,20.0,False,False,36.25
2,Aaron Gordon,30,5.0,14.0,0.357,0.0,3.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0,1.0,2.0,10.0,2.0,False,True,33.0
3,Aaron Gordon,27,2.0,6.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,4.0,1.0,0.0,0.0,2.0,0.0,8.0,-28.0,False,False,14.0
0,Aaron Gordon,38,7.0,16.0,0.438,2.0,6.0,0.333,2.0,4.0,0.5,6.0,1.0,0.0,0.0,3.0,2.0,18.0,2.0,False,False,26.5
0,Aaron Gordon,36,4.0,11.0,0.364,0.0,5.0,0.0,2.0,2.0,1.0,7.0,3.0,0.0,1.0,3.0,3.0,10.0,14.0,False,False,23.75
6,Aaron Holiday,27,3.0,9.0,0.333,0.0,2.0,0.0,3.0,3.0,1.0,3.0,9.0,1.0,0.0,4.0,3.0,9.0,19.0,False,False,26.25
0,Aaron Holiday,33,3.0,17.0,0.176,1.0,8.0,0.125,3.0,3.0,1.0,5.0,5.0,1.0,0.0,1.0,6.0,10.0,0.0,False,False,25.75
6,Aaron Holiday,24,4.0,9.0,0.444,1.0,3.0,0.333,3.0,3.0,1.0,4.0,5.0,4.0,0.0,1.0,2.0,12.0,-6.0,False,False,32.5
4,Aaron Holiday,24,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,9.0,False,False,13.5
4,Aaron Holiday,18,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,4.0,11.0,-14.0,False,False,17.75
6,Aaron Holiday,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,-6.0,False,False,13.0
3,Aaron Holiday,27,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0,-23.0,False,False,13.5
1,Aaron Holiday,34,5.0,9.0,0.556,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,3.0,11.0,-8.0,False,False,25.0
3,Aaron Holiday,26,6.0,11.0,0.545,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,4.0,12.0,-16.0,False,False,20.0
4,Aaron Holiday,29,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,3.0,4.0,-9.0,False,False,11.5
4,Aaron Holiday,19,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,7.0,9.0,False,False,15.5
3,Aaron Holiday,28,6.0,11.0,0.545,4.0,7.0,0.571,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,16.0,9.0,False,False,28.75
3,Aaron Holiday,19,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,-11.0,False,False,10.75
3,Aaron Holiday,25,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,7.0,-2.0,False,False,17.0
6,Aaron Holiday,21,2.0,9.0,0.222,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,1.0,0.0,2.0,0.0,5.0,-12.0,False,False,11.75
3,Aaron Holiday,21,5.0,9.0,0.556,0.0,1.0,0.0,1.0,2.0,0.5,1.0,5.0,3.0,0.0,1.0,4.0,11.0,-5.0,False,False,25.25
6,Aaron Holiday,24,5.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,2.0,12.0,16.0,False,False,24.5
0,Aaron Holiday,27,5.0,10.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,4.0,4.0,3.0,0.0,3.0,1.0,14.0,4.0,False,False,30.0
4,Aaron Holiday,18,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,-8.0,False,False,4.75
3,Aaron Holiday,22,5.0,10.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,1.0,0.0,1.0,0.0,11.0,-18.0,False,False,18.25
3,Aaron Nesmith,38,5.0,8.0,0.625,2.0,4.0,0.5,1.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,5.0,13.0,-1.0,False,False,26.5
6,Aaron Nesmith,22,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,11.0,False,False,10.75
4,Aaron Nesmith,26,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,False,False,10.25
4,Aaron Nesmith,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,False,False,3.5
3,Aaron Wiggins,22,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,4.0,-23.0,False,False,8.0
6,Aaron Wiggins,19,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,6.0,2.0,False,False,9.5
4,Aaron Wiggins,27,0.0,8.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0,2.0,2.0,-18.0,False,False,13.0
4,Aaron Wiggins,26,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,3.0,1.0,1.0,0.0,1.0,3.0,1.0,6.0,False,False,7.75
3,Aaron Wiggins,26,5.0,10.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,7.0,4.0,2.0,0.0,1.0,2.0,13.0,-18.0,False,False,31.75
3,Aaron Wiggins,26,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,-19.0,False,False,5.0
3,Aaron Wiggins,30,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,False,False,13.0
3,Aaron Wiggins,30,2.0,9.0,0.222,1.0,4.0,0.25,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,7.0,-19.0,False,False,14.25
4,Aaron Wiggins,21,3.0,8.0,0.375,2.0,3.0,0.667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,-10.0,False,False,11.5
0,Aaron Wiggins,34,8.0,11.0,0.727,1.0,4.0,0.25,2.0,3.0,0.667,8.0,1.0,1.0,1.0,3.0,2.0,19.0,-15.0,False,False,33.5
4,Aaron Wiggins,17,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,2.0,-7.0,False,False,11.0
0,Aaron Wiggins,38,9.0,19.0,0.474,5.0,8.0,0.625,2.0,3.0,0.667,9.0,5.0,1.0,0.0,3.0,1.0,25.0,-21.0,False,False,46.75
6,Aaron Wiggins,29,4.0,11.0,0.364,1.0,4.0,0.25,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,10.0,1.0,False,False,19.0
2,Aaron Wiggins,33,4.0,9.0,0.444,1.0,3.0,0.333,4.0,6.0,0.667,4.0,3.0,0.0,0.0,3.0,1.0,13.0,-17.0,False,False,21.5
0,Aaron Wiggins,38,10.0,19.0,0.526,1.0,5.0,0.2,1.0,1.0,1.0,8.0,1.0,2.0,0.0,2.0,2.0,22.0,-7.0,False,False,37.0
2,Aaron Wiggins,26,5.0,8.0,0.625,2.0,4.0,0.5,1.0,2.0,0.5,4.0,1.0,1.0,1.0,0.0,1.0,13.0,15.0,False,False,24.5
0,Aaron Wiggins,37,4.0,10.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,5.0,10.0,3.0,False,False,19.5
3,Aaron Wiggins,24,2.0,4.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,8.0,7.0,False,False,15.0
1,Aaron Wiggins,39,11.0,19.0,0.579,2.0,6.0,0.333,4.0,5.0,0.8,5.0,6.0,0.0,0.0,4.0,1.0,28.0,1.0,False,False,42.25
1,Aaron Wiggins,30,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,8.0,-19.0,False,False,14.75
2,Aaron Wiggins,28,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,7.0,8.0,False,False,20.5
4,Aaron Wiggins,23,1.0,3.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,3.0,2.0,1.0,0.0,1.0,1.0,5.0,-9.0,False,False,13.25
2,Aaron Wiggins,33,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,-11.0,False,False,12.25
3,Aaron Wiggins,21,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,4.0,6.0,-16.0,False,False,17.75
2,Aaron Wiggins,34,5.0,8.0,0.625,0.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,1.0,3.0,11.0,-9.0,False,False,22.5
6,Aaron Wiggins,31,2.0,5.0,0.4,2.0,4.0,0.5,2.0,4.0,0.5,5.0,0.0,2.0,0.0,1.0,1.0,8.0,-4.0,False,False,18.75
4,Aaron Wiggins,25,6.0,9.0,0.667,1.0,4.0,0.25,4.0,4.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0,17.0,7.0,False,False,30.5
3,Aaron Wiggins,18,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,-2.0,False,False,12.75
4,Aaron Wiggins,9,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,-4.0,False,False,4.25
3,Aaron Wiggins,29,5.0,7.0,0.714,0.0,1.0,0.0,7.0,8.0,0.875,1.0,1.0,0.0,0.0,1.0,2.0,17.0,-6.0,False,False,19.25
4,Aaron Wiggins,24,3.0,10.0,0.3,0.0,3.0,0.0,1.0,4.0,0.25,3.0,1.0,0.0,0.0,3.0,1.0,7.0,-15.0,False,False,10.75
1,Aaron Wiggins,37,5.0,13.0,0.385,0.0,5.0,0.0,1.0,2.0,0.5,3.0,1.0,1.0,0.0,0.0,3.0,11.0,-18.0,False,False,18.25
3,Aaron Wiggins,26,3.0,8.0,0.375,1.0,2.0,0.5,2.0,2.0,1.0,6.0,2.0,1.0,0.0,1.0,5.0,9.0,15.0,False,False,21.5
1,Aaron Wiggins,32,8.0,10.0,0.8,2.0,4.0,0.5,6.0,8.0,0.75,6.0,1.0,0.0,0.0,2.0,3.0,24.0,0.0,False,False,33.0
3,Aaron Wiggins,26,2.0,8.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,6.0,1.0,2.0,0.0,1.0,3.0,5.0,-3.0,False,False,17.5
4,Aaron Wiggins,16,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-11.0,False,False,6.75
4,Aaron Wiggins,23,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,4.0,8.0,-8.0,False,False,15.0
2,Aaron Wiggins,25,5.0,8.0,0.625,1.0,2.0,0.5,3.0,4.0,0.75,5.0,0.0,1.0,1.0,0.0,3.0,14.0,13.0,False,False,24.75
3,Admiral Schofield,26,3.0,7.0,0.429,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,6.0,-8.0,False,False,17.0
6,Admiral Schofield,25,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,1.0,2.0,8.0,14.0,False,False,23.75
4,Al Horford,30,4.0,7.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,7.0,4.0,1.0,1.0,0.0,4.0,13.0,8.0,False,False,33.25
3,Al Horford,25,5.0,9.0,0.556,3.0,5.0,0.6,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,4.0,13.0,4.0,False,False,23.0
4,Al Horford,28,2.0,6.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,6.0,4.0,0.0,1.0,1.0,3.0,8.0,-11.0,False,False,24.0
2,Al Horford,36,4.0,11.0,0.364,4.0,9.0,0.444,0.0,0.0,0.0,10.0,3.0,1.0,2.0,2.0,3.0,12.0,-4.0,False,True,37.5
3,Al Horford,31,5.0,7.0,0.714,2.0,4.0,0.5,1.0,1.0,1.0,10.0,4.0,0.0,0.0,2.0,3.0,13.0,-2.0,False,True,33.0
2,Al Horford,39,9.0,17.0,0.529,4.0,7.0,0.571,0.0,0.0,0.0,16.0,5.0,0.0,2.0,0.0,4.0,22.0,2.0,False,True,57.0
4,Al Horford,33,8.0,10.0,0.8,2.0,3.0,0.667,1.0,2.0,0.5,7.0,7.0,1.0,2.0,2.0,1.0,19.0,-3.0,False,False,44.25
2,Al Horford,32,5.0,9.0,0.556,1.0,3.0,0.333,7.0,10.0,0.7,4.0,4.0,1.0,1.0,1.0,3.0,18.0,1.0,False,False,33.0
4,Al Horford,20,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,3.0,8.0,False,False,15.5
1,Al Horford,37,3.0,14.0,0.214,0.0,7.0,0.0,3.0,4.0,0.75,10.0,8.0,2.0,3.0,1.0,4.0,9.0,4.0,False,False,43.0
