,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
7,Anthony Lamb,21,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,4.0,7.0,14.0,False,False,18.75
7,Anthony Lamb,15,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,4.0,-7.0,False,False,13.75
6,Austin Reaves,29,3.0,8.0,0.375,0.0,3.0,0.0,2.0,2.0,1.0,6.0,2.0,1.0,0.0,2.0,1.0,8.0,15.0,False,False,19.5
6,Austin Reaves,21,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,False,False,12.0
7,Austin Reaves,21,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,-4.0,False,False,18.0
6,Austin Reaves,34,2.0,6.0,0.333,0.0,3.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,7.0,-11.0,False,False,13.5
4,Austin Reaves,26,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,-23.0,False,False,12.5
0,Austin Reaves,29,2.0,6.0,0.333,0.0,3.0,0.0,7.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,-14.0,False,False,17.5
0,Austin Reaves,34,7.0,10.0,0.7,2.0,5.0,0.4,6.0,8.0,0.75,5.0,3.0,1.0,1.0,0.0,1.0,22.0,10.0,False,False,37.75
6,Austin Reaves,31,2.0,4.0,0.5,2.0,3.0,0.667,7.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,13.0,6.0,False,False,17.5
2,Austin Reaves,35,3.0,5.0,0.6,0.0,1.0,0.0,5.0,5.0,1.0,3.0,4.0,0.0,1.0,1.0,5.0,11.0,-2.0,False,False,22.25
7,Austin Reaves,33,7.0,12.0,0.583,0.0,2.0,0.0,5.0,5.0,1.0,5.0,1.0,1.0,0.0,3.0,1.0,19.0,2.0,False,False,27.25
7,Austin Reaves,27,3.0,6.0,0.5,2.0,4.0,0.5,2.0,3.0,0.667,4.0,2.0,1.0,1.0,0.0,1.0,10.0,15.0,False,False,23.0
6,Austin Reaves,30,6.0,7.0,0.857,1.0,2.0,0.5,3.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,16.0,3.0,False,False,23.0
2,Austin Reaves,32,5.0,8.0,0.625,3.0,4.0,0.75,2.0,3.0,0.667,1.0,3.0,0.0,0.0,1.0,2.0,15.0,20.0,False,False,21.75
0,Austin Reaves,36,5.0,8.0,0.625,2.0,4.0,0.5,4.0,4.0,1.0,4.0,6.0,0.0,1.0,0.0,2.0,16.0,14.0,False,False,33.0
1,Austin Reaves,35,3.0,10.0,0.3,1.0,5.0,0.2,1.0,3.0,0.333,9.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,False,False,20.75
2,Austin Reaves,27,7.0,11.0,0.636,3.0,4.0,0.75,4.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,21.0,19.0,False,False,29.0
7,Austin Reaves,25,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,1.0,-12.0,False,False,7.0
7,Austin Reaves,26,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,7.0,3.0,0.0,0.0,2.0,0.0,12.0,8.0,False,False,25.25
4,Austin Rivers,28,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,-24.0,False,False,9.0
3,Austin Rivers,24,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,-25.0,False,False,8.25
7,Austin Rivers,19,2.0,4.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,False,False,8.0
0,Ayo Dosunmu,36,7.0,14.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,6.0,4.0,2.0,1.0,2.0,2.0,17.0,15.0,False,False,37.0
3,Ayo Dosunmu,30,4.0,9.0,0.444,0.0,2.0,0.0,4.0,4.0,1.0,4.0,7.0,2.0,1.0,1.0,2.0,12.0,-1.0,False,False,33.0
1,Ayo Dosunmu,31,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,7.0,-19.0,False,False,18.75
0,Ayo Dosunmu,36,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,5.0,10.0,16.0,False,False,16.25
1,Ayo Dosunmu,33,7.0,11.0,0.636,1.0,4.0,0.25,2.0,2.0,1.0,3.0,4.0,3.0,0.0,2.0,2.0,17.0,12.0,False,False,32.25
0,Ayo Dosunmu,33,9.0,10.0,0.9,4.0,4.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,3.0,22.0,2.0,False,False,35.5
4,Ayo Dosunmu,24,3.0,5.0,0.6,1.0,2.0,0.5,1.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,4.0,8.0,-3.0,False,False,19.25
4,Ayo Dosunmu,21,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,3.0,8.0,-7.0,False,False,17.0
2,Ayo Dosunmu,29,3.0,9.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,2.0,4.0,2.0,0.0,2.0,3.0,7.0,-27.0,False,False,18.5
4,Ayo Dosunmu,25,3.0,7.0,0.429,0.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,7.0,-2.0,False,False,18.75
4,Ayo Dosunmu,26,5.0,8.0,0.625,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,11.0,-7.0,False,False,14.0
3,Ayo Dosunmu,27,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,5.0,-5.0,False,False,15.0
3,Ayo Dosunmu,30,3.0,10.0,0.3,0.0,3.0,0.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,2.0,3.0,8.0,4.0,False,False,16.5
4,Ayo Dosunmu,29,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,11.0,5.0,False,False,19.25
0,Ayo Dosunmu,38,6.0,15.0,0.4,3.0,8.0,0.375,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,4.0,15.0,-30.0,False,False,23.25
3,Ayo Dosunmu,27,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,-8.0,False,False,10.25
3,Ayo Dosunmu,20,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,12.0,-22.0,False,False,17.25
